INFO | 2019-10-07 21:51:21.420031 | HyperParams:
INFO | 2019-10-07 21:51:21.420057 | 	NNodes: 20
INFO | 2019-10-07 21:51:21.420066 | 	activate: <function relu at 0x11adfc620>
INFO | 2019-10-07 21:51:21.420074 | 	deltaActivate: <function d_relu at 0x11adfc6a8>
INFO | 2019-10-07 21:51:21.420082 | 	learningRate: 0.15
INFO | 2019-10-07 21:51:21.420088 | 	epochs: 200
INFO | 2019-10-07 21:51:21.420094 | 	regLambda: 0.01
INFO | 2019-10-07 21:51:21.420099 | 	batchSize: 20
INFO | 2019-10-07 21:51:21.420104 | 	task: regression
INFO | 2019-10-07 21:51:21.420111 | Loading X from data/DataFor640/dataset2/Digit_x.csv...
INFO | 2019-10-07 21:51:21.420117 | Loading Y from data/DataFor640/dataset2/Digit_y.csv...
INFO | 2019-10-07 21:51:21.481994 | X train shape: (900, 64)
INFO | 2019-10-07 21:51:21.482029 | Y train shape: (900, 1)
INFO | 2019-10-07 21:51:21.482038 | X test shape: (900, 64)
INFO | 2019-10-07 21:51:21.482045 | Y test shape: (900, 1)
INFO | 2019-10-07 21:51:21.482315 | Starting 1 epoch
INFO | 2019-10-07 21:51:21.502365 | Loss: 1.7003411491075284 | Batch_count = 3
INFO | 2019-10-07 21:51:21.502692 | Loss: 2.0723504125722068 | Batch_count = 4
INFO | 2019-10-07 21:51:21.503021 | Loss: 2.3071547782828827 | Batch_count = 5
INFO | 2019-10-07 21:51:21.503347 | Loss: 2.8261096802030794 | Batch_count = 6
INFO | 2019-10-07 21:51:21.503674 | Loss: 2.0070714319983627 | Batch_count = 7
INFO | 2019-10-07 21:51:21.504001 | Loss: 1.973084608055554 | Batch_count = 8
INFO | 2019-10-07 21:51:21.504328 | Loss: 2.48757466175984 | Batch_count = 9
INFO | 2019-10-07 21:51:21.504656 | Loss: 1.9956094096453911 | Batch_count = 10
INFO | 2019-10-07 21:51:21.504983 | Loss: 2.3506313504954517 | Batch_count = 11
INFO | 2019-10-07 21:51:21.505309 | Loss: 2.332380340013465 | Batch_count = 12
INFO | 2019-10-07 21:51:21.505635 | Loss: 2.3818149867281853 | Batch_count = 13
INFO | 2019-10-07 21:51:21.505961 | Loss: 2.140359782298925 | Batch_count = 14
INFO | 2019-10-07 21:51:21.506305 | Loss: 1.9173095409927405 | Batch_count = 15
INFO | 2019-10-07 21:51:21.506637 | Loss: 2.3020841111118417 | Batch_count = 16
INFO | 2019-10-07 21:51:21.506966 | Loss: 2.0951505570983775 | Batch_count = 17
INFO | 2019-10-07 21:51:21.507293 | Loss: 1.9894856455270327 | Batch_count = 18
INFO | 2019-10-07 21:51:21.507620 | Loss: 2.1302181975516428 | Batch_count = 19
INFO | 2019-10-07 21:51:21.507946 | Loss: 1.9636210770213471 | Batch_count = 20
INFO | 2019-10-07 21:51:21.508271 | Loss: 2.000734745611603 | Batch_count = 21
INFO | 2019-10-07 21:51:21.508599 | Loss: 1.6943417709496236 | Batch_count = 22
INFO | 2019-10-07 21:51:21.508980 | Loss: 2.0874913634553507 | Batch_count = 23
INFO | 2019-10-07 21:51:21.509489 | Loss: 2.029362650150764 | Batch_count = 24
INFO | 2019-10-07 21:51:21.509895 | Loss: 2.143223781493067 | Batch_count = 25
INFO | 2019-10-07 21:51:21.510242 | Loss: 2.146970846110213 | Batch_count = 26
INFO | 2019-10-07 21:51:21.510582 | Loss: 2.32694686950029 | Batch_count = 27
INFO | 2019-10-07 21:51:21.510920 | Loss: 1.9664215663064897 | Batch_count = 28
INFO | 2019-10-07 21:51:21.511255 | Loss: 2.1879410415862 | Batch_count = 29
INFO | 2019-10-07 21:51:21.511588 | Loss: 2.5168377100289128 | Batch_count = 30
INFO | 2019-10-07 21:51:21.511922 | Loss: 2.499152270238551 | Batch_count = 31
INFO | 2019-10-07 21:51:21.512254 | Loss: 2.6458452561052455 | Batch_count = 32
INFO | 2019-10-07 21:51:21.512583 | Loss: 2.1355876712168698 | Batch_count = 33
INFO | 2019-10-07 21:51:21.512925 | Loss: 1.6685844722608068 | Batch_count = 34
INFO | 2019-10-07 21:51:21.513256 | Loss: 2.071196720141748 | Batch_count = 35
INFO | 2019-10-07 21:51:21.513589 | Loss: 2.072939951444653 | Batch_count = 36
INFO | 2019-10-07 21:51:21.513920 | Loss: 2.4822239156749224 | Batch_count = 37
INFO | 2019-10-07 21:51:21.514251 | Loss: 2.0234312910414847 | Batch_count = 38
INFO | 2019-10-07 21:51:21.514584 | Loss: 2.2792598585547834 | Batch_count = 39
INFO | 2019-10-07 21:51:21.514913 | Loss: 2.0868922778338455 | Batch_count = 40
INFO | 2019-10-07 21:51:21.515241 | Loss: 2.023577616569173 | Batch_count = 41
INFO | 2019-10-07 21:51:21.515572 | Loss: 2.085560467444583 | Batch_count = 42
INFO | 2019-10-07 21:51:21.515900 | Loss: 2.3009736479550074 | Batch_count = 43
INFO | 2019-10-07 21:51:21.516276 | Loss: 1.9605395903636271 | Batch_count = 44
INFO | 2019-10-07 21:51:21.516643 | Starting 3 epoch
INFO | 2019-10-07 21:51:21.516950 | Loss: 1.9868924951322964 | Batch_count = 0
INFO | 2019-10-07 21:51:21.517403 | Loss: 1.8601343244056872 | Batch_count = 1
INFO | 2019-10-07 21:51:21.517754 | Loss: 1.407037040322802 | Batch_count = 2
INFO | 2019-10-07 21:51:21.518093 | Loss: 1.5959497097343935 | Batch_count = 3
INFO | 2019-10-07 21:51:21.518429 | Loss: 1.8851784491307892 | Batch_count = 4
INFO | 2019-10-07 21:51:21.518762 | Loss: 1.8712517697848847 | Batch_count = 5
INFO | 2019-10-07 21:51:21.519096 | Loss: 2.375986903381994 | Batch_count = 6
INFO | 2019-10-07 21:51:21.519439 | Loss: 2.080924357234598 | Batch_count = 7
INFO | 2019-10-07 21:51:21.519773 | Loss: 1.4874533618845596 | Batch_count = 8
INFO | 2019-10-07 21:51:21.520106 | Loss: 2.3110160047473944 | Batch_count = 9
INFO | 2019-10-07 21:51:21.520437 | Loss: 1.7312270929092186 | Batch_count = 10
INFO | 2019-10-07 21:51:21.520767 | Loss: 1.9436078386871378 | Batch_count = 11
INFO | 2019-10-07 21:51:21.521096 | Loss: 1.589459831971314 | Batch_count = 12
INFO | 2019-10-07 21:51:21.521428 | Loss: 1.761034319421388 | Batch_count = 13
INFO | 2019-10-07 21:51:21.521758 | Loss: 1.588857238860859 | Batch_count = 14
INFO | 2019-10-07 21:51:21.522088 | Loss: 1.8009233792243668 | Batch_count = 15
INFO | 2019-10-07 21:51:21.522419 | Loss: 1.6507128334674603 | Batch_count = 16
INFO | 2019-10-07 21:51:21.522749 | Loss: 1.9773149767950546 | Batch_count = 17
INFO | 2019-10-07 21:51:21.523078 | Loss: 1.9908935149208913 | Batch_count = 18
INFO | 2019-10-07 21:51:21.523405 | Loss: 1.650614907401591 | Batch_count = 19
INFO | 2019-10-07 21:51:21.523735 | Loss: 1.4975863645888605 | Batch_count = 20
INFO | 2019-10-07 21:51:21.524066 | Loss: 1.7498600160822908 | Batch_count = 21
INFO | 2019-10-07 21:51:21.524499 | Loss: 1.3454259621012754 | Batch_count = 22
INFO | 2019-10-07 21:51:21.524871 | Loss: 1.1956918114731665 | Batch_count = 23
INFO | 2019-10-07 21:51:21.525242 | Loss: 1.464642243318874 | Batch_count = 24
INFO | 2019-10-07 21:51:21.525603 | Loss: 1.8160150719038375 | Batch_count = 25
INFO | 2019-10-07 21:51:21.525974 | Loss: 1.7747276303833914 | Batch_count = 26
INFO | 2019-10-07 21:51:21.526313 | Loss: 1.6581983089783872 | Batch_count = 27
INFO | 2019-10-07 21:51:21.526647 | Loss: 1.6506208778636347 | Batch_count = 28
INFO | 2019-10-07 21:51:21.526981 | Loss: 1.8770228470079326 | Batch_count = 29
INFO | 2019-10-07 21:51:21.527312 | Loss: 1.931946678691689 | Batch_count = 30
INFO | 2019-10-07 21:51:21.527641 | Loss: 1.591490948359434 | Batch_count = 31
INFO | 2019-10-07 21:51:21.527971 | Loss: 1.699643774568301 | Batch_count = 32
INFO | 2019-10-07 21:51:21.528300 | Loss: 1.3849628643901186 | Batch_count = 33
INFO | 2019-10-07 21:51:21.528631 | Loss: 1.2620144527787076 | Batch_count = 34
INFO | 2019-10-07 21:51:21.529075 | Loss: 1.4340873057084793 | Batch_count = 35
INFO | 2019-10-07 21:51:21.529549 | Loss: 2.0317682328676696 | Batch_count = 36
INFO | 2019-10-07 21:51:21.529919 | Loss: 1.6364662256303868 | Batch_count = 37
INFO | 2019-10-07 21:51:21.530258 | Loss: 1.8536610645057885 | Batch_count = 38
INFO | 2019-10-07 21:51:21.530592 | Loss: 2.5974220454628085 | Batch_count = 39
INFO | 2019-10-07 21:51:21.530925 | Loss: 1.7952269178526454 | Batch_count = 40
INFO | 2019-10-07 21:51:21.531257 | Loss: 1.5541304539405958 | Batch_count = 41
INFO | 2019-10-07 21:51:21.531590 | Loss: 1.7168229353679534 | Batch_count = 42
INFO | 2019-10-07 21:51:21.531920 | Loss: 1.8686232028735696 | Batch_count = 43
INFO | 2019-10-07 21:51:21.532252 | Loss: 1.5429504330833648 | Batch_count = 44
INFO | 2019-10-07 21:51:21.532453 | Starting 4 epoch
INFO | 2019-10-07 21:51:21.532615 | Loss: 1.9959893592089961 | Batch_count = 0
INFO | 2019-10-07 21:51:21.533094 | Loss: 1.4668098913963983 | Batch_count = 1
INFO | 2019-10-07 21:51:21.533467 | Loss: 1.299729795574927 | Batch_count = 2
INFO | 2019-10-07 21:51:21.533802 | Loss: 1.6253565008850956 | Batch_count = 3
INFO | 2019-10-07 21:51:21.534134 | Loss: 1.6725010871397765 | Batch_count = 4
INFO | 2019-10-07 21:51:21.534537 | Loss: 1.4634088818727429 | Batch_count = 5
INFO | 2019-10-07 21:51:21.534889 | Loss: 1.8799115518223863 | Batch_count = 6
INFO | 2019-10-07 21:51:21.535223 | Loss: 1.6127394419084902 | Batch_count = 7
INFO | 2019-10-07 21:51:21.535552 | Loss: 1.4463345027421795 | Batch_count = 8
INFO | 2019-10-07 21:51:21.535880 | Loss: 1.9947702939955048 | Batch_count = 9
INFO | 2019-10-07 21:51:21.536207 | Loss: 1.5287536638377097 | Batch_count = 10
INFO | 2019-10-07 21:51:21.536534 | Loss: 1.7224962582242558 | Batch_count = 11
INFO | 2019-10-07 21:51:21.536863 | Loss: 1.1887383194973657 | Batch_count = 12
INFO | 2019-10-07 21:51:21.537191 | Loss: 1.3229483795341914 | Batch_count = 13
INFO | 2019-10-07 21:51:21.537537 | Loss: 0.9848515455857797 | Batch_count = 14
INFO | 2019-10-07 21:51:21.537867 | Loss: 1.6584758351007793 | Batch_count = 15
INFO | 2019-10-07 21:51:21.538196 | Loss: 1.327571258777643 | Batch_count = 16
INFO | 2019-10-07 21:51:21.538526 | Loss: 0.8981649419371751 | Batch_count = 17
INFO | 2019-10-07 21:51:21.538855 | Loss: 1.277725083645384 | Batch_count = 18
INFO | 2019-10-07 21:51:21.539184 | Loss: 1.2983441857352391 | Batch_count = 19
INFO | 2019-10-07 21:51:21.539515 | Loss: 1.4355957459972624 | Batch_count = 20
INFO | 2019-10-07 21:51:21.539844 | Loss: 1.7549851911958514 | Batch_count = 21
INFO | 2019-10-07 21:51:21.540174 | Loss: 1.2821589543722418 | Batch_count = 22
INFO | 2019-10-07 21:51:21.540502 | Loss: 1.0251079323235375 | Batch_count = 23
INFO | 2019-10-07 21:51:21.540829 | Loss: 1.284020443504446 | Batch_count = 24
INFO | 2019-10-07 21:51:21.541157 | Loss: 1.5723296247872691 | Batch_count = 25
INFO | 2019-10-07 21:51:21.541486 | Loss: 1.4522534017157687 | Batch_count = 26
INFO | 2019-10-07 21:51:21.541813 | Loss: 1.3684631072839053 | Batch_count = 27
INFO | 2019-10-07 21:51:21.542143 | Loss: 1.8077741096095503 | Batch_count = 28
INFO | 2019-10-07 21:51:21.542480 | Loss: 1.7530115494138583 | Batch_count = 29
INFO | 2019-10-07 21:51:21.543089 | Loss: 1.5209081845270913 | Batch_count = 30
INFO | 2019-10-07 21:51:21.543468 | Loss: 1.2259265670225563 | Batch_count = 31
INFO | 2019-10-07 21:51:21.543812 | Loss: 1.5676162768286859 | Batch_count = 32
INFO | 2019-10-07 21:51:21.544149 | Loss: 1.1901589240472976 | Batch_count = 33
INFO | 2019-10-07 21:51:21.544500 | Loss: 1.1686158580989598 | Batch_count = 34
INFO | 2019-10-07 21:51:21.544836 | Loss: 1.4858292913194895 | Batch_count = 35
INFO | 2019-10-07 21:51:21.545169 | Loss: 2.050718275800624 | Batch_count = 36
INFO | 2019-10-07 21:51:21.545499 | Loss: 1.5638123140028128 | Batch_count = 37
INFO | 2019-10-07 21:51:21.545828 | Loss: 1.319916154035621 | Batch_count = 38
INFO | 2019-10-07 21:51:21.546158 | Loss: 1.7874284016804596 | Batch_count = 39
INFO | 2019-10-07 21:51:21.546487 | Loss: 1.465497372699074 | Batch_count = 40
INFO | 2019-10-07 21:51:21.546821 | Loss: 1.4194726765844603 | Batch_count = 41
INFO | 2019-10-07 21:51:21.547152 | Loss: 1.9390203192730242 | Batch_count = 42
INFO | 2019-10-07 21:51:21.547483 | Loss: 1.947673716517531 | Batch_count = 43
INFO | 2019-10-07 21:51:21.547814 | Loss: 1.3591858098750997 | Batch_count = 44
INFO | 2019-10-07 21:51:21.548015 | Starting 5 epoch
INFO | 2019-10-07 21:51:21.548162 | Loss: 1.5446499766904234 | Batch_count = 0
INFO | 2019-10-07 21:51:21.548491 | Loss: 1.2779638667516513 | Batch_count = 1
INFO | 2019-10-07 21:51:21.548819 | Loss: 1.118105188540753 | Batch_count = 2
INFO | 2019-10-07 21:51:21.549147 | Loss: 1.6453058770074256 | Batch_count = 3
INFO | 2019-10-07 21:51:21.549477 | Loss: 1.5336662548058841 | Batch_count = 4
INFO | 2019-10-07 21:51:21.550037 | Loss: 1.2626817128842596 | Batch_count = 5
INFO | 2019-10-07 21:51:21.550421 | Loss: 1.6829062760562055 | Batch_count = 6
INFO | 2019-10-07 21:51:21.550766 | Loss: 1.603598905951886 | Batch_count = 7
INFO | 2019-10-07 21:51:21.551105 | Loss: 1.2712464903653613 | Batch_count = 8
INFO | 2019-10-07 21:51:21.551442 | Loss: 1.7210699402261027 | Batch_count = 9
INFO | 2019-10-07 21:51:21.551775 | Loss: 1.3438367835084504 | Batch_count = 10
INFO | 2019-10-07 21:51:21.552109 | Loss: 1.6382568842262897 | Batch_count = 11
INFO | 2019-10-07 21:51:21.552523 | Loss: 1.0583421561318942 | Batch_count = 12
INFO | 2019-10-07 21:51:21.552860 | Loss: 1.079587000553454 | Batch_count = 13
INFO | 2019-10-07 21:51:21.553194 | Loss: 0.8467196754652989 | Batch_count = 14
INFO | 2019-10-07 21:51:21.553527 | Loss: 1.6507832609810167 | Batch_count = 15
INFO | 2019-10-07 21:51:21.553859 | Loss: 1.256711063155546 | Batch_count = 16
